"HostelName","City","StartingPrice","Distance","RatingScore","RatingBand","Atmosphere","Cleanliness","Facilities","Location","Security","Staff","ValueForMoney","lon","lat","Station","Dist_Station","lat_station","lng_station"
"HOSTEL WASABI Kyoto Machiya Soba","Kyoto",2000,2.3,9.1,"Superb",8.9,9.8,9.1,7.9,9,9.2,9.4,135.7481084,35.0249099,"Imadegawa",1.1609791468612,35.0298223,135.7593593
"HOSTEL WASABI Osaka Bed with Library","Osaka",1500,4.5,8.8,"Fabulous",8.1,9.1,8.7,9.5,8.2,9.2,9,135.503826,34.666552,"Nippombashi",0.214802660227811,34.6669677,135.5061197
"Hostel＆Café East57 Asakusabashi","Tokyo",2200,8.7,8.7,"Fabulous",7.8,9.3,7.8,9.1,9,9.1,8.6,139.7876509,35.6967579,"Kodemmacho",1.02274923785018,35.6913621,139.7784791
"Hotel Cargo Shinsaibashi","Osaka",4200,3.2,9.3,"Superb",8.4,9.6,8.8,8.8,9.6,10,9.6,135.503563,34.678242,"Shinsaibashi",0.482613881821106,34.6747701,135.5003959
"Hotel Chuo","Osaka",1500,6.4,6.4,"Good",6,6,6,8,5,7,7,135.5046082,34.6490104,"Dobutsuen-mae",0.0940866987735505,34.6489686,135.5035809
"Hotel Graphy Nezu","Tokyo",1800,7.6,8.9,"Fabulous",8.5,9.1,9.2,8.5,9.3,9.3,8.8,139.768667,35.717269,"Nezu",0.320983317943419,35.718029,139.765237
"Hotel Kawase Tokyo and Capsule","Tokyo",1900,9.8,6.4,"Good",5.4,5.1,6,8,6.3,7.4,6.6,139.7951933,35.71011924,"Asakusa",0.251369192719111,35.71085336,139.7978265
"Hotel Mikado","Osaka",2000,6.5,8.7,"Fabulous",9.3,7.3,8,9.3,8,9.3,9.3,135.5046097,34.64828715,"Dobutsuen-mae",0.120823233721649,34.6489686,135.5035809
"Hotel Raizan South","Osaka",2000,6.5,8.1,"Fabulous",7,7,9,9,8,8,9,135.504278,34.648413,"Dobutsuen-mae",0.0887862921431186,34.6489686,135.5035809
"Hotel Shin-Imamiya","Osaka",1400,6.3,6.6,"Good",4.8,7.3,6,7.8,8.3,6.3,5.8,135.5015478,34.6497931,"Dobutsuen-mae",0.207345987899385,34.6489686,135.5035809
"Hotel Sun Plaza","Osaka",1300,6.3,6.5,"Good",6,7.3,6,6.7,6,7.3,6,135.5017749,34.64970371,"Dobutsuen-mae",0.184318569915421,34.6489686,135.5035809
"Hotel Taiyo","Osaka",1500,6.5,8.1,"Fabulous",7.3,8,8,8.7,8.7,8,8,135.5047718,34.6483624,"Dobutsuen-mae",0.12810540266291,34.6489686,135.5035809
"Hotel Wako","Osaka",1600,6.8,6,"Good",4,4,6,6,8,6,8,135.5018819,34.6459573,"Dobutsuen-mae",0.369152388884558,34.6489686,135.5035809
"Hotel&Hostel On the Marks Tokyo Kawasaki","Tokyo",1900,18.1,9.6,"Superb",9.6,10,9.6,8.7,9.9,9.9,9.6,139.6985808,35.5269926,"Suehirocho",6.53781388662664,35.5302804,139.7707142
"Idocoro","Osaka",1800,2.2,8.2,"Fabulous",7.1,8.9,8,7.6,8.8,8.7,8.2,135.5086675,34.6873302,"Kitahama",0.409411786544378,34.6905957,135.5065989
"Ikidane House","Tokyo",2000,8.2,9.1,"Superb",8,9.6,8.8,9.2,9.2,9.6,9.2,139.7604533,35.7373998,"Nishi-nippori",0.81053771977897,35.7325993,139.767211
"Ikidane House Asakusa Hatago","Tokyo",2000,10,8.9,"Fabulous",10,10,10,4,10,8,10,139.7950489,35.722089,"Iriya",0.868301438793258,35.7215633,139.7854523
"Ikidane House Namba","Osaka",1200,6.5,9.3,"Superb",8.9,9.6,9.7,8.8,8.9,9.6,9.6,135.5019794,34.6479104,"Dobutsuen-mae",0.187901339422434,34.6489686,135.5035809
"Ikoi-no-Ie Kyoto","Kyoto",2700,2.2,8,"Fabulous",6,8.8,8,8,9.2,8.4,7.6,135.757046,34.994033,"Gojo",0.288992009213625,34.9954343,135.7597179
